,product,number,transactions,wish,review
89,Nike SB Dunk Low Pro ISO Orange Label Lilac,34061,17,308,10
90,Nike x Off-White Dunk Low The 50 - Lot 45,33749,33,341,16
91,Nike SB Dunk Low Pro Chlorophyll,42559,1,97,0
92,Nike x Off-White Dunk Low The 50 - Lot 43,45492,3,51,3
93,(TD) Nike Dunk Low Black,41879,"2,548",758,364
94,Nike Dunk Low SP Samba 2020,32239,"1,545","2,250",208
95,(GS) Nike Dunk Low SE Free.99 White,35734,803,783,63
96,(W) Nike Dunk Low SP College Navy,29218,"2,903","5,902",305
97,Nike Dunk Low SP Ceramic,4969,"4,210","3,713",688
98,Nike Dunk Low SP Veneer,37860,"3,673","2,403",346
99,Nike SB Dunk Low Pro Wheat and Purple,37818,520,863,35
100,(GS) Nike Dunk Low White Bone Peach Aqua,37770,36,509,3
101,(W) Nike Dunk Low Disrupt Carbon Green,37463,106,"1,257",10
102,(GS) Nike Dunk Low Championship Grey,43208,297,"2,766",8
103,(W) Nike Dunk Low SE Flip,34096,"6,386","3,880",603
104,Nike Dunk Low SP City Market,37182,"1,100","1,147",144
105,(W) Nike Dunk Low Yellow Strike,26454,124,892,24
106,Nike SB Dunk Low Pro Pink Pig,42962,698,"1,156",85
107,(GS) Nike Dunk Low Retro Medium Grey,30653,58,464,15
108,(W) Nike Dunk Low University Gold,41946,4,150,2
109,(TD) Nike Dunk Low Pink Foam,43889,225,214,16
110,(PS) Nike x Social Status Dunk Low Free Lunch Chocolate Milk,36819,35,117,6
111,(TD) Nike Dunk Low PRM Halloween,30800,91,153,16
112,Nike Dunk Low SE Sail Multi Camo,37915,"3,308","2,751",174
113,(PS) Nike Dunk Low Bright Crimson Game Royal,39255,322,343,13
114,Nike Dunk Low SE Black Multi Camo,37686,"2,080","1,662",137
115,(PS) Nike x Social Status Dunk Low Free Lunch Strawberry Milk,27295,32,95,5
116,(W) Nike Dunk Low Disrupt Siren Red,30219,639,"1,792",60
117,(TD) Nike Dunk Low Varsity Maize,30333,602,260,37
118,(PS) Nike Dunk Low Varsity Maize,34942,857,637,63
119,Nike SB Dunk Low Pro Red Plum,26176,529,777,35
120,(W) Nike Dunk Low Disrupt Coconut Milk,23211,19,351,2
121,(PS) Nike x NBA Dunk Low Nets,29072,2,55,0
122,(W) Nike Dunk Low SE Primal White,23212,250,843,15
123,(GS) Nike Dunk Low SE Free.99 Black,23446,464,382,33
124,(TD) Nike Dunk Low Bright Crimson Game Royal,30612,278,200,22
125,(TD) Nike Dunk Low SE Sail Multi Camo,23430,91,95,8
126,Nike Dunk Low SE Dusty Olive,28044,928,"1,449",77
127,Nike Dunk Low Retro PRM Zebra,23997,630,"1,246",46
128,Nike SB Dunk Low Pro Premium Barcelona,23950,483,784,45
129,Nike SB Dunk Low Pro Blue Chill,32249,639,"1,502",67
130,Nike x Off-White Dunk Low University Gold Midnight Navy,28231,842,"1,858",648
131,Nike x StrangeLove SB Dunk Low Pink (Regular Box),23998,526,"2,559",362
132,Nike x Frame Skate SB Dunk Low Pro Habibi,37657,482,"1,383",174
133,Nike Dunk Low SP Retro Viotech 2019,28990,341,774,146
134,Nike x Off-White Dunk Low The 50 - Lot 50,34060,246,981,87
135,Nike SB Dunk Low Pro Street Hawker,37859,356,537,48
136,Nike x Ben & Jerry's SB Dunk Low Chunky Dunky,32274,802,"2,092",270
137,Nike SB Dunk Low Pro Celadon,41947,596,"1,339",72
138,(W) Nike Dunk Low Laser Orange,35186,960,"4,278",107
139,(PS) Nike Dunk Low University Blue,27575,934,"1,187",57
140,Nike Dunk Low SP Champ Colors,30332,978,"2,504",109
141,(W) Nike Dunk Low Purple Pulse,24985,193,"2,470",20
142,(W) Nike Dunk Low Disrupt Gym Red,39064,"1,058","1,701",56
143,Nike Dunk Low SE Free.99 Black,40809,"1,007",778,101
144,(W) Nike Dunk Low SE Primal Black,30614,30,93,4
145,Nike SB Dunk Low Pro ISO Orange Label White Navy,33767,504,"2,101",52
146,Nike x Supreme SB Dunk Low Mean Green,25425,141,600,41
147,Nike SB Dunk Low Pro Mystic Navy,23622,363,729,71
148,(W) Nike Dunk Low Disrupt Photon Dust,21996,388,"1,939",28
149,Nike x Supreme SB Dunk Low Jewel Swoosh Red,38320,207,642,47
150,(TD) Nike Dunk Low Orange Pearl,30701,794,342,83
151,Nike SB Dunk Low Pro Trail,24665,295,682,53
152,Nike Dunk Low SP Plum,23447,400,"1,328",101
153,(W) Nike Dunk Low Disrupt Desert Sand,23637,"1,019","3,928",82
154,Nike x Grateful Dead SB Dunk Low Yellow Bear,28415,325,793,69
155,Nike SB Dunk Low Pro Night of Mischief Halloween,24821,76,347,37
156,Nike x Staple SB Dunk Low Panda Pigeon,22562,64,630,46
157,(W) Nike Dunk Low Lemon Drop,39143,160,"1,602",38
158,(W) Nike Dunk Low Disrupt Game Royal,33616,"1,201","2,884",185
159,Nike x Medicom Toy SB Dunk Low BE@RBRICK,24220,59,359,8
160,(W) Nike x Comme des Garcons Dunk Low Print,25423,177,633,24
161,(GS) Nike Dunk Low SE Sail Multi Camo,25282,288,463,15
162,Nike Dunk Low SP Syracuse 2020,43903,646,"4,256",378
163,(W) Nike Dunk Low Disrupt Platinum Violet,37684,124,399,16
164,Nike SB Dunk Low Laser Orange,33620,362,"1,503",105
165,Nike Dunk Low Retro Next Nature Sequoia Olive,25426,14,153,5
166,(TD) Nike Dunk Low SP Veneer,23645,165,144,32
167,(GS) Nike Dunk Low Pink Velvet,45309,229,"2,491",18
168,(W) Nike Dunk Low Harvest Moon,25845,9,315,1
169,(W) Nike Dunk Low SE Primal Pink,44317,7,62,0
170,(PS) Nike x NBA Dunk Low Chicago,26277,112,222,8
